Product,Price,Currency,Quantity,Location
Venison - Racks Frenched,11.19,EUR,6691,France
"Chocolate - Pistoles, White",17.44,EUR,537,France
Lemons,13.72,EUR,3966,France
Cheese - Colby,6.78,EUR,2532,France
Pepper - Orange,2.44,NOK,5441,Norway
"Star Anise, Whole",12.32,EUR,2088,France
Puff Pastry - Slab,6.25,EUR,4438,France
Mints - Striped Red,8.51,EUR,4947,France
Sprouts - Baby Pea Tendrils,29.57,EUR,4382,France
Heavy Duty Dust Pan,10.35,NOK,5073,Norway
Sprouts Dikon,24.59,NOK,6265,Norway
Chocolate - Milk,5.76,NOK,3822,Norway
Crab Meat Claw PastGBPise,1.34,EUR,4851,France
Lettuce - Curly Endive,19.94,EUR,374,Spain
Myers Planters Punch,0.43,EUR,7464,France
Rootbeer,22.33,EUR,7161,France
Urban Zen Drinks,13.45,EUR,1785,France
"Iced Tea - Lemon, 460 Ml",26.07,EUR,43,France
Bread - Flat Bread,1.3,EUR,2684,France
Petit Baguette,25.05,EUR,1965,France
Cheese Cloth No 100,2.32,EUR,2477,Spain
Wine - Chateauneuf Du Pape,22.44,GBP,8860,United Kingdom
Sausage - Chorizo,19.27,EUR,502,France
Onions - White,26.98,EUR,3636,France
Towel Multifold,14.19,EUR,3372,France
Marzipan 50/50,11.32,GBP,2250,United Kingdom
Muffin Batt - Blueberry Passion,20,EUR,7537,France
"Yogurt - Strawberry, 175 Gr",14.5,EUR,7344,France
Pepper - Jalapeno,0.59,EUR,5267,Germany
Vaccum Bag 10x13,8.95,EUR,5002,France
Icecream - Dstk Super Cone,27.25,EUR,1623,France
Tea - Herbal I Love Lemon,13.55,NOK,5951,Norway
Chicken - Bones,9.44,EUR,5100,France
Tomatoes Tear Drop Yellow,2.86,EUR,5565,Spain
Pear - Prickly,1.86,EUR,6381,France
Muffin - Bran Ind Wrpd,14.89,EUR,8595,France
Sauerkraut,7.46,EUR,1480,Germany
"Lemonade - Kiwi, 591 Ml",23.04,EUR,455,France
Lamb - Sausage Casings,18.35,EUR,3501,France
Eggplant Oriental,6.08,EUR,3793,France
"Seedlings - Buckwheat, Organic",19.7,EUR,3633,Spain
Pear - Asian,25.83,EUR,3677,France
"Sparkling Wine - Rose, Freixenet",21.52,EUR,324,France
Bagels Poppyseed,19.47,NOK,3998,Norway
Pepper - Green Thai,20.09,NOK,1996,Norway
Carbonated Water - Blackberry,2.05,NOK,5990,Norway
Shiratamako - Rice Flour,23.23,EUR,7160,France
Milk Powder,8.88,EUR,6880,France
Filling - Mince Meat,10.3,GBP,2964,United Kingdom
